United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Cross County,AR,2,2,Low (<10.0),100,0.6,-0.3,0,0
Dallas County,AR,3,9.9,Low (<10.0),0,3.1,0.8,5.7,-4.3
Desha County,AR,9,7,Low (<10.0),80,1.2,0.5,0,-0.1
Drew County,AR,9,7,Low (<10.0),80,1.2,0.5,0,-0.1
Faulkner County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
Franklin County,AR,24,7,Low (<10.0),140,2,0,1.9,-0.7
Fulton County,AR,6,3.9,Low (<10.0),-45.5,1.7,0.5,4.1,2.3
Garland County,AR,4,2.3,Low (<10.0),100,0.4,0,0,0
Grant County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
Greene County,AR,10,3.9,Low (<10.0),900,0.7,-0.2,2.4,0.3
Hempstead County,AR,6,2.4,Low (<10.0),0,0.6,-0.4,0,-0.8
Hot Spring County,AR,4,2.3,Low (<10.0),100,0.4,0,0,0
Howard County,AR,6,2.4,Low (<10.0),0,0.6,-0.4,0,-0.8
Independence County,AR,6,3.9,Low (<10.0),-45.5,1.7,0.5,4.1,2.3
Izard County,AR,6,3.9,Low (<10.0),-45.5,1.7,0.5,4.1,2.3
Jackson County,AR,1,0.8,Low (<10.0),-75,0.9,-0.4,0,-0.2
Jefferson County,AR,9,7,Low (<10.0),80,1.2,0.5,0,-0.1
Johnson County,AR,4,15.1,Medium (10.0 to 19.9),300,4.3,-0.9,13.7,13.4
Lafayette County,AR,6,2.4,Low (<10.0),0,0.6,-0.4,0,-0.8
Lawrence County,AR,10,3.9,Low (<10.0),900,0.7,-0.2,2.4,0.3
Lee County,AR,2,2,Low (<10.0),100,0.6,-0.3,0,0
Lincoln County,AR,9,7,Low (<10.0),80,1.2,0.5,0,-0.1
Little River County,AR,6,2.4,Low (<10.0),0,0.6,-0.4,0,-0.8
Logan County,AR,24,7,Low (<10.0),140,2,0,1.9,-0.7
Lonoke County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
Madison County,AR,16,2.8,Low (<10.0),100,0.8,0.2,1.7,0.9
Marion County,AR,5,8.5,Low (<10.0),400,0.7,-0.2,0,-2.4
Miller County,AR,6,2.4,Low (<10.0),0,0.6,-0.4,0,-0.8
Mississippi County,AR,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Monroe County,AR,3,12.4,Medium (10.0 to 19.9),N/A,0.5,-0.1,N/A,N/A
Montgomery County,AR,4,2.3,Low (<10.0),100,0.4,0,0,0
Nevada County,AR,6,2.4,Low (<10.0),0,0.6,-0.4,0,-0.8
Newton County,AR,4,4.9,Low (<10.0),N/A,0.6,0.5,0,0
Ouachita County,AR,3,9.9,Low (<10.0),0,3.1,0.8,5.7,-4.3
Perry County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
Phillips County,AR,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Pike County,AR,4,2.3,Low (<10.0),100,0.4,0,0,0
Poinsett County,AR,10,3.9,Low (<10.0),900,0.7,-0.2,2.4,0.3
Polk County,AR,0,0,Low (<10.0),-100,0,-0.4,0,0
Pope County,AR,1,1.2,Low (<10.0),-85.7,0.8,-1.2,2.8,-3.9
Prairie County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
Pulaski County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
Randolph County,AR,10,3.9,Low (<10.0),900,0.7,-0.2,2.4,0.3
Saline County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
Scott County,AR,24,7,Low (<10.0),140,2,0,1.9,-0.7
Searcy County,AR,4,4.9,Low (<10.0),N/A,0.6,0.5,0,0
Sebastian County,AR,24,7,Low (<10.0),140,2,0,1.9,-0.7
Sevier County,AR,6,2.4,Low (<10.0),0,0.6,-0.4,0,-0.8
Sharp County,AR,6,3.9,Low (<10.0),-45.5,1.7,0.5,4.1,2.3
St. Francis County,AR,2,2,Low (<10.0),100,0.6,-0.3,0,0
Stone County,AR,6,3.9,Low (<10.0),-45.5,1.7,0.5,4.1,2.3
Union County,AR,0,0,Low (<10.0),N/A,0,0,0,0
Van Buren County,AR,36,4.6,Low (<10.0),12.5,1,0,1.7,0.3
