United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Union County,MS,1,1.2,Low (<10.0),0,1,0.2,0,-2.3
Walthall County,MS,7,7.7,Low (<10.0),250,0.7,-0.2,1.5,1.5
Warren County,MS,0,0,Low (<10.0),N/A,0,0,0,0
Washington County,MS,1,2,Low (<10.0),0,0,-0.3,0,-0.6
Wayne County,MS,4,3.3,Low (<10.0),33.3,0.8,0.4,0,0
Webster County,MS,0,0,Low (<10.0),-100,0.1,0.1,0,0
Wilkinson County,MS,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Winston County,MS,0,0,Low (<10.0),-100,0.1,0.1,0,0
Yalobusha County,MS,0,0,Low (<10.0),-100,1.1,0.3,6.6,5.2
Yazoo County,MS,2,6.7,Low (<10.0),N/A,3.5,0.7,N/A,N/A
Beaverhead County,MT,0,0,Low (<10.0),-100,1.1,-0.3,0,-0.3
Big Horn County,MT,3,1.4,Low (<10.0),-62.5,0.8,-0.1,0.1,-1.3
Blaine County,MT,1,3.4,Low (<10.0),0,0.6,0.6,4.7,4.7
Broadwater County,MT,7,8,Low (<10.0),0,3.1,1.7,9.3,6.9
Carbon County,MT,3,1.4,Low (<10.0),-62.5,0.8,-0.1,0.1,-1.3
Carter County,MT,1,5.1,Low (<10.0),0,0.9,0.2,0,-8.6
Cascade County,MT,1,0.8,Low (<10.0),-85.7,0.9,0,0,0
Chouteau County,MT,1,0.8,Low (<10.0),-85.7,0.9,0,0,0
Custer County,MT,1,5.1,Low (<10.0),0,0.9,0.2,0,-8.6
Daniels County,MT,0,0,Low (<10.0),N/A,0,0,0,0
Dawson County,MT,0,0,Low (<10.0),N/A,0,0,0,0
Deer Lodge County,MT,0,0,Low (<10.0),-100,1.1,-0.3,0,-0.3
Fallon County,MT,1,5.1,Low (<10.0),0,0.9,0.2,0,-8.6
Fergus County,MT,0,0,Low (<10.0),N/A,0.2,-0.7,N/A,N/A
Flathead County,MT,2,1.6,Low (<10.0),0,0.6,-0.6,0.3,-0.4
Gallatin County and Yellowstone National Park,MT,3,2.4,Low (<10.0),-40,1.4,-0.6,2.2,-1.8
Garfield County,MT,1,5.1,Low (<10.0),0,0.9,0.2,0,-8.6
Glacier County,MT,1,0.8,Low (<10.0),-85.7,0.9,0,0,0
Golden Valley County,MT,3,1.4,Low (<10.0),-62.5,0.8,-0.1,0.1,-1.3
Granite County,MT,6,2.8,Low (<10.0),-25,0.9,-0.1,2.8,0.4
Hill County,MT,1,3.4,Low (<10.0),0,0.6,0.6,4.7,4.7
Jefferson County,MT,7,8,Low (<10.0),0,3.1,1.7,9.3,6.9
Judith Basin County,MT,1,0.8,Low (<10.0),-85.7,0.9,0,0,0
Lake County,MT,6,2.8,Low (<10.0),-25,0.9,-0.1,2.8,0.4
Lewis and Clark County,MT,7,8,Low (<10.0),0,3.1,1.7,9.3,6.9
Liberty County,MT,1,3.4,Low (<10.0),0,0.6,0.6,4.7,4.7
Lincoln County,MT,2,1.6,Low (<10.0),0,0.6,-0.6,0.3,-0.4
Madison County,MT,3,2.4,Low (<10.0),-40,1.4,-0.6,2.2,-1.8
McCone County,MT,0,0,Low (<10.0),N/A,0,0,0,0
Meagher County,MT,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Mineral County,MT,6,2.8,Low (<10.0),-25,0.9,-0.1,2.8,0.4
Missoula County,MT,6,2.8,Low (<10.0),-25,0.9,-0.1,2.8,0.4
Musselshell County,MT,3,1.4,Low (<10.0),-62.5,0.8,-0.1,0.1,-1.3
Park County,MT,1,4.9,Low (<10.0),0,1.9,1.6,0,0
Petroleum County,MT,0,0,Low (<10.0),N/A,0.2,-0.7,N/A,N/A
Phillips County,MT,1,3.4,Low (<10.0),0,0.6,0.6,4.7,4.7
Pondera County,MT,1,0.8,Low (<10.0),-85.7,0.9,0,0,0
Powder River County,MT,1,5.1,Low (<10.0),0,0.9,0.2,0,-8.6
Powell County,MT,0,0,Low (<10.0),N/A,0,-1.7,N/A,N/A
Prairie County,MT,1,5.1,Low (<10.0),0,0.9,0.2,0,-8.6
Ravalli County,MT,6,2.8,Low (<10.0),-25,0.9,-0.1,2.8,0.4
Richland County,MT,0,0,Low (<10.0),N/A,0,0,0,0
Roosevelt County,MT,0,0,Low (<10.0),N/A,0,0,0,0
Rosebud County,MT,3,1.4,Low (<10.0),-62.5,0.8,-0.1,0.1,-1.3
Sanders County,MT,6,2.8,Low (<10.0),-25,0.9,-0.1,2.8,0.4
Sheridan County,MT,0,0,Low (<10.0),N/A,0,0,0,0
Silver Bow County,MT,0,0,Low (<10.0),-100,1.1,-0.3,0,-0.3
Stillwater County,MT,3,1.4,Low (<10.0),-62.5,0.8,-0.1,0.1,-1.3
Sweet Grass County,MT,1,4.9,Low (<10.0),0,1.9,1.6,0,0
Teton County,MT,1,0.8,Low (<10.0),-85.7,0.9,0,0,0
Toole County,MT,1,0.8,Low (<10.0),-85.7,0.9,0,0,0
Treasure County,MT,3,1.4,Low (<10.0),-62.5,0.8,-0.1,0.1,-1.3
Valley County,MT,0,0,Low (<10.0),N/A,0,0,0,0
Wheatland County,MT,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Wibaux County,MT,0,0,Low (<10.0),N/A,0,0,0,0
Yellowstone County,MT,3,1.4,Low (<10.0),-62.5,0.8,-0.1,0.1,-1.3
Alamance County,NC,3,1.8,Low (<10.0),200,2,0,0.2,0.2
Alexander County,NC,1,0.5,Low (<10.0),-50,0.8,0.7,2.2,1
Alleghany County,NC,0,0,Low (<10.0),-100,0,-0.9,0,0
Anson County,NC,21,1.5,Low (<10.0),-12.5,0.7,-0.1,0.8,0
Ashe County,NC,2,2,Low (<10.0),0,0.9,0.8,6.2,4.8
Avery County,NC,0,0,Low (<10.0),-100,2.1,0.9,0,0
Beaufort County,NC,6,2.2,Low (<10.0),-14.3,2.3,-0.2,1.8,-0.3
Bertie County,NC,1,1.5,Low (<10.0),N/A,0.4,0.2,0,0
Bladen County,NC,2,0.8,Low (<10.0),-75,1.3,0.5,0.4,-1
Brunswick County,NC,8,1.8,Low (<10.0),0,1.4,0.2,0,0
Buncombe County,NC,10,2,Low (<10.0),-9.1,1.5,0.1,2.5,0.2
Burke County,NC,4,1.2,Low (<10.0),-33.3,0.7,-0.1,2.7,1
Cabarrus County,NC,12,2.8,Low (<10.0),100,1.1,-0.2,2.1,0.2
Caldwell County,NC,4,1.2,Low (<10.0),-33.3,0.7,-0.1,2.7,1
Camden County,NC,1,1,Low (<10.0),0,0,-0.3,0,0
Carteret County,NC,7,1.8,Low (<10.0),0,0.7,-0.5,0.5,0.5
Caswell County,NC,1,0.5,Low (<10.0),N/A,1.1,-0.3,0,-0.6
Catawba County,NC,4,1.2,Low (<10.0),-33.3,0.7,-0.1,2.7,1
Chatham County,NC,4,1,Low (<10.0),-66.7,1.5,-0.3,1.4,-0.7
Cherokee County,NC,0,0,Low (<10.0),-100,0.7,0.3,0,0
Chowan County,NC,1,1.5,Low (<10.0),N/A,0.4,0.2,0,0
Clay County,NC,0,0,Low (<10.0),-100,0.7,0.3,0,0
Cleveland County,NC,4,0.8,Low (<10.0),-33.3,0.5,-0.1,1.4,0.5
Columbus County,NC,2,0.8,Low (<10.0),-75,1.3,0.5,0.4,-1
Craven County,NC,7,1.8,Low (<10.0),0,0.7,-0.5,0.5,0.5
Cumberland County,NC,5,1.3,Low (<10.0),150,0.7,-0.2,0.2,0
Currituck County,NC,21,1.7,Low (<10.0),40,0.4,-0.1,0.5,0.1
Dare County,NC,1,1,Low (<10.0),0,0,-0.3,0,0
Davidson County,NC,10,1.1,Low (<10.0),-68.8,1.2,0.2,1.8,1
Davie County,NC,9,1.6,Low (<10.0),-57.1,0.7,-0.2,0.8,0.3
Duplin County,NC,2,0.8,Low (<10.0),-50,0.2,-0.3,0.1,-0.3
Durham County,NC,16,3.3,Low (<10.0),14.3,2.3,0,2.7,-0.2
Edgecombe County,NC,6,2.8,Low (<10.0),200,0.2,0.2,1.6,1.1
Forsyth County,NC,9,1.6,Low (<10.0),-57.1,0.7,-0.2,0.8,0.3
Franklin County,NC,9,0.6,Low (<10.0),-18.2,1.2,-0.1,1,-0.5
Gaston County,NC,4,0.8,Low (<10.0),-33.3,0.5,-0.1,1.4,0.5
Gates County,NC,1,1.5,Low (<10.0),N/A,0.4,0.2,0,0
Graham County,NC,2,2,Low (<10.0),100,0.4,-0.1,0.1,-2.6
Granville County,NC,16,3.3,Low (<10.0),14.3,2.3,0,2.7,-0.2
Greene County,NC,2,0.8,Low (<10.0),-50,0.2,-0.3,0.1,-0.3
Guilford County,NC,10,1.1,Low (<10.0),-68.8,1.2,0.2,1.8,1
Halifax County,NC,6,2.8,Low (<10.0),200,0.2,0.2,1.6,1.1
Harnett County,NC,4,1,Low (<10.0),-66.7,1.5,-0.3,1.4,-0.7
Haywood County,NC,10,2,Low (<10.0),-9.1,1.5,0.1,2.5,0.2
Henderson County,NC,10,2,Low (<10.0),-9.1,1.5,0.1,2.5,0.2
Hertford County,NC,1,1.5,Low (<10.0),N/A,0.4,0.2,0,0
Hoke County,NC,0,0,Low (<10.0),-100,1,-0.5,0.1,-2.9
Hyde County,NC,6,2.2,Low (<10.0),-14.3,2.3,-0.2,1.8,-0.3
Iredell County,NC,1,0.5,Low (<10.0),-50,0.8,0.7,2.2,1
Jackson County,NC,2,2,Low (<10.0),100,0.4,-0.1,0.1,-2.6
Johnston County,NC,9,0.6,Low (<10.0),-18.2,1.2,-0.1,1,-0.5
Jones County,NC,7,1.8,Low (<10.0),0,0.7,-0.5,0.5,0.5
Lee County,NC,4,1,Low (<10.0),-66.7,1.5,-0.3,1.4,-0.7
Lenoir County,NC,2,0.8,Low (<10.0),-50,0.2,-0.3,0.1,-0.3
Lincoln County,NC,4,0.8,Low (<10.0),-33.3,0.5,-0.1,1.4,0.5
Macon County,NC,2,2,Low (<10.0),100,0.4,-0.1,0.1,-2.6
Madison County,NC,10,2,Low (<10.0),-9.1,1.5,0.1,2.5,0.2
Martin County,NC,6,2.2,Low (<10.0),-14.3,2.3,-0.2,1.8,-0.3
McDowell County,NC,0,0,Low (<10.0),N/A,0.7,-4.1,0,-4.8
Mecklenburg County,NC,21,1.5,Low (<10.0),-12.5,0.7,-0.1,0.8,0
Mitchell County,NC,0,0,Low (<10.0),-100,2.1,0.9,0,0
Montgomery County,NC,0,0,Low (<10.0),-100,1,-0.5,0.1,-2.9
Moore County,NC,0,0,Low (<10.0),-100,1,-0.5,0.1,-2.9
Nash County,NC,6,2.8,Low (<10.0),200,0.2,0.2,1.6,1.1
New Hanover County,NC,8,1.8,Low (<10.0),0,1.4,0.2,0,0
Northampton County,NC,6,2.8,Low (<10.0),200,0.2,0.2,1.6,1.1
Onslow County,NC,7,1.8,Low (<10.0),0,0.7,-0.5,0.5,0.5
Orange County,NC,4,1,Low (<10.0),-66.7,1.5,-0.3,1.4,-0.7
Pamlico County,NC,7,1.8,Low (<10.0),0,0.7,-0.5,0.5,0.5
Pasquotank County,NC,1,1,Low (<10.0),0,0,-0.3,0,0
Pender County,NC,8,1.8,Low (<10.0),0,1.4,0.2,0,0
Perquimans County,NC,1,1,Low (<10.0),0,0,-0.3,0,0
Person County,NC,16,3.3,Low (<10.0),14.3,2.3,0,2.7,-0.2
Pitt County,NC,6,2.2,Low (<10.0),-14.3,2.3,-0.2,1.8,-0.3
Polk County,NC,14,3.3,Low (<10.0),133.3,1.4,0,0.3,-0.7
Randolph County,NC,10,1.1,Low (<10.0),-68.8,1.2,0.2,1.8,1
Richmond County,NC,0,0,Low (<10.0),-100,1,-0.5,0.1,-2.9
Robeson County,NC,2,0.8,Low (<10.0),-75,1.3,0.5,0.4,-1
Rockingham County,NC,10,1.1,Low (<10.0),-68.8,1.2,0.2,1.8,1
Rowan County,NC,12,2.8,Low (<10.0),100,1.1,-0.2,2.1,0.2
Rutherford County,NC,4,0.8,Low (<10.0),-33.3,0.5,-0.1,1.4,0.5
Sampson County,NC,5,1.3,Low (<10.0),150,0.7,-0.2,0.2,0
Scotland County,NC,2,0.8,Low (<10.0),-75,1.3,0.5,0.4,-1
Stanly County,NC,12,2.8,Low (<10.0),100,1.1,-0.2,2.1,0.2
Stokes County,NC,9,1.6,Low (<10.0),-57.1,0.7,-0.2,0.8,0.3
Surry County,NC,9,1.6,Low (<10.0),-57.1,0.7,-0.2,0.8,0.3
Swain County,NC,2,2,Low (<10.0),100,0.4,-0.1,0.1,-2.6
Transylvania County,NC,10,2,Low (<10.0),-9.1,1.5,0.1,2.5,0.2
Tyrrell County,NC,6,2.2,Low (<10.0),-14.3,2.3,-0.2,1.8,-0.3
Union County,NC,21,1.5,Low (<10.0),-12.5,0.7,-0.1,0.8,0
Vance County,NC,16,3.3,Low (<10.0),14.3,2.3,0,2.7,-0.2
Wake County,NC,9,0.6,Low (<10.0),-18.2,1.2,-0.1,1,-0.5
Warren County,NC,16,3.3,Low (<10.0),14.3,2.3,0,2.7,-0.2
Washington County,NC,6,2.2,Low (<10.0),-14.3,2.3,-0.2,1.8,-0.3
Watauga County,NC,2,2,Low (<10.0),0,0.9,0.8,6.2,4.8
Wayne County,NC,2,0.8,Low (<10.0),-50,0.2,-0.3,0.1,-0.3
Wilkes County,NC,2,2.9,Low (<10.0),N/A,0.5,0.2,3.8,3.8
Wilson County,NC,9,0.6,Low (<10.0),-18.2,1.2,-0.1,1,-0.5
Yadkin County,NC,9,1.6,Low (<10.0),-57.1,0.7,-0.2,0.8,0.3
Yancey County,NC,0,0,Low (<10.0),-100,2.1,0.9,0,0
Adams County,ND,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Barnes County,ND,12,3.5,Low (<10.0),50,1.5,-0.1,1.6,0.8
Benson County,ND,1,4.8,Low (<10.0),N/A,0.8,-3.8,N/A,N/A
Billings County,ND,0,0,Low (<10.0),-100,0.4,-1.5,0,0
Bottineau County,ND,4,4.2,Low (<10.0),33.3,1.7,-0.6,2,2
Bowman County,ND,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Burke County,ND,4,4.2,Low (<10.0),33.3,1.7,-0.6,2,2
Burleigh County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
Cass County,ND,12,3.5,Low (<10.0),50,1.5,-0.1,1.6,0.8
Cavalier County,ND,3,2.4,Low (<10.0),-40,0.9,-0.4,0,0
Dickey County,ND,0,0,Low (<10.0),N/A,0,-5.1,N/A,N/A
Divide County,ND,3,5.5,Low (<10.0),N/A,0.2,0.2,0,0
Dunn County,ND,0,0,Low (<10.0),-100,0.4,-1.5,0,0
Eddy County,ND,1,4.8,Low (<10.0),N/A,0.8,-3.8,N/A,N/A
Emmons County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
Foster County,ND,3,10.8,Medium (10.0 to 19.9),N/A,1.3,1.2,0,0
Golden Valley County,ND,0,0,Low (<10.0),-100,0.4,-1.5,0,0
Grand Forks County,ND,3,2.4,Low (<10.0),-40,0.9,-0.4,0,0
Grant County,ND,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Griggs County,ND,12,3.5,Low (<10.0),50,1.5,-0.1,1.6,0.8
Hettinger County,ND,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Kidder County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
LaMoure County,ND,0,0,Low (<10.0),N/A,0,-5.1,N/A,N/A
Logan County,ND,0,0,Low (<10.0),-100,6.9,0,N/A,N/A
McHenry County,ND,4,4.2,Low (<10.0),33.3,1.7,-0.6,2,2
McIntosh County,ND,0,0,Low (<10.0),-100,6.9,0,N/A,N/A
McKenzie County,ND,3,5.5,Low (<10.0),N/A,0.2,0.2,0,0
McLean County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
Mercer County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
Morton County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
Mountrail County,ND,4,4.2,Low (<10.0),33.3,1.7,-0.6,2,2
Nelson County,ND,3,2.4,Low (<10.0),-40,0.9,-0.4,0,0
Oliver County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
Pembina County,ND,3,2.4,Low (<10.0),-40,0.9,-0.4,0,0
Pierce County,ND,0,0,Low (<10.0),N/A,0.3,-0.5,N/A,N/A
Ramsey County,ND,1,4.8,Low (<10.0),N/A,0.8,-3.8,N/A,N/A
Ransom County,ND,12,3.5,Low (<10.0),50,1.5,-0.1,1.6,0.8
Renville County,ND,4,4.2,Low (<10.0),33.3,1.7,-0.6,2,2
Richland County,ND,12,3.5,Low (<10.0),50,1.5,-0.1,1.6,0.8
Rolette County,ND,0,0,Low (<10.0),N/A,0.3,-0.5,N/A,N/A
Sargent County,ND,12,3.5,Low (<10.0),50,1.5,-0.1,1.6,0.8
Sheridan County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
Sioux County,ND,9,5.7,Low (<10.0),200,1.6,-0.2,0,-0.4
Slope County,ND,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Stark County,ND,0,0,Low (<10.0),-100,0.4,-1.5,0,0
Steele County,ND,12,3.5,Low (<10.0),50,1.5,-0.1,1.6,0.8
Stutsman County,ND,3,10.8,Medium (10.0 to 19.9),N/A,1.3,1.2,0,0
Towner County,ND,0,0,Low (<10.0),N/A,0.3,-0.5,N/A,N/A
Traill County,ND,12,3.5,Low (<10.0),50,1.5,-0.1,1.6,0.8
Walsh County,ND,3,2.4,Low (<10.0),-40,0.9,-0.4,0,0
Ward County,ND,4,4.2,Low (<10.0),33.3,1.7,-0.6,2,2
Wells County,ND,3,10.8,Medium (10.0 to 19.9),N/A,1.3,1.2,0,0
Williams County,ND,3,5.5,Low (<10.0),N/A,0.2,0.2,0,0
Adams County,NE,3,6.6,Low (<10.0),200,0.9,-0.1,1.6,-4.7
Antelope County,NE,1,1.6,Low (<10.0),N/A,1.1,-0.6,29.1,-14.2
Arthur County,NE,0,0,Low (<10.0),-100,0.5,0.4,0,0
Banner County,NE,2,2.9,Low (<10.0),N/A,0.2,0.2,0,0
Blaine County,NE,0,0,Low (<10.0),N/A,0.6,-1,N/A,N/A
Boone County,NE,1,2.4,Low (<10.0),N/A,0.7,0.6,0,0
Box Butte County,NE,2,2.9,Low (<10.0),N/A,0.2,0.2,0,0
Boyd County,NE,1,4.2,Low (<10.0),-50,2.5,1.8,0,0
Brown County,NE,2,13.2,Medium (10.0 to 19.9),N/A,2.5,0.8,0,0
Buffalo County,NE,1,1.1,Low (<10.0),0,0.4,-0.7,3.8,-1.2
Burt County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Butler County,NE,10,2.6,Low (<10.0),25,1,-0.7,1.9,0.6
Cass County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Cedar County,NE,0,0,Low (<10.0),-100,0.5,-0.9,0.8,-2.2
Chase County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Cherry County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Cheyenne County,NE,6,5.3,Low (<10.0),0,1.8,0.4,2.8,1.1
Clay County,NE,3,6.6,Low (<10.0),200,0.9,-0.1,1.6,-4.7
Colfax County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Cuming County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Custer County,NE,0,0,Low (<10.0),N/A,0.6,-1,N/A,N/A
Dakota County,NE,2,1,Low (<10.0),-75,1.2,0.1,1.8,0.7
Dawes County,NE,4,12.3,Medium (10.0 to 19.9),100,0.9,0.3,0,0
Dawson County,NE,1,1.1,Low (<10.0),0,0.4,-0.7,3.8,-1.2
Deuel County,NE,6,5.3,Low (<10.0),0,1.8,0.4,2.8,1.1
Dixon County,NE,2,1,Low (<10.0),-75,1.2,0.1,1.8,0.7
Dodge County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Douglas County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Dundy County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Fillmore County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Franklin County,NE,1,1.1,Low (<10.0),0,0.4,-0.7,3.8,-1.2
Frontier County,NE,1,1.1,Low (<10.0),0,0.4,-0.7,3.8,-1.2
Furnas County,NE,0,0,Low (<10.0),N/A,0,0,0,0
Gage County,NE,10,2.6,Low (<10.0),25,1,-0.7,1.9,0.6
Garden County,NE,2,2.9,Low (<10.0),N/A,0.2,0.2,0,0
Garfield County,NE,0,0,Low (<10.0),N/A,0.6,-1,N/A,N/A
Gosper County,NE,1,1.1,Low (<10.0),0,0.4,-0.7,3.8,-1.2
Grant County,NE,2,2.9,Low (<10.0),N/A,0.2,0.2,0,0
Greeley County,NE,1,1.1,Low (<10.0),-50,0.4,-1.2,0,0
Hall County,NE,1,1.1,Low (<10.0),-50,0.4,-1.2,0,0
Hamilton County,NE,1,1.1,Low (<10.0),-50,0.4,-1.2,0,0
Harlan County,NE,0,0,Low (<10.0),N/A,0,0,0,0
Hayes County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Hitchcock County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Holt County,NE,2,13.2,Medium (10.0 to 19.9),N/A,2.5,0.8,0,0
Hooker County,NE,0,0,Low (<10.0),-100,0.5,0.4,0,0
Howard County,NE,1,1.1,Low (<10.0),-50,0.4,-1.2,0,0
Jefferson County,NE,10,2.6,Low (<10.0),25,1,-0.7,1.9,0.6
Johnson County,NE,1,4.7,Low (<10.0),N/A,0.1,0.1,N/A,N/A
Kearney County,NE,1,1.1,Low (<10.0),0,0.4,-0.7,3.8,-1.2
Keith County,NE,0,0,Low (<10.0),-100,0.5,0.4,0,0
Keya Paha County,NE,2,13.2,Medium (10.0 to 19.9),N/A,2.5,0.8,0,0
Kimball County,NE,6,5.3,Low (<10.0),0,1.8,0.4,2.8,1.1
Knox County,NE,0,0,Low (<10.0),-100,0.5,-0.9,0.8,-2.2
Lancaster County,NE,10,2.6,Low (<10.0),25,1,-0.7,1.9,0.6
Lincoln County,NE,0,0,Low (<10.0),-100,0.5,0.4,0,0
Logan County,NE,0,0,Low (<10.0),N/A,0.6,-1,N/A,N/A
Loup County,NE,0,0,Low (<10.0),N/A,0.6,-1,N/A,N/A
Madison County,NE,1,1.6,Low (<10.0),N/A,1.1,-0.6,29.1,-14.2
McPherson County,NE,0,0,Low (<10.0),-100,0.5,0.4,0,0
Merrick County,NE,1,1.1,Low (<10.0),-50,0.4,-1.2,0,0
Morrill County,NE,2,2.9,Low (<10.0),N/A,0.2,0.2,0,0
Nance County,NE,1,2.4,Low (<10.0),N/A,0.7,0.6,0,0
Nemaha County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Nuckolls County,NE,3,6.6,Low (<10.0),200,0.9,-0.1,1.6,-4.7
Otoe County,NE,1,4.7,Low (<10.0),N/A,0.1,0.1,N/A,N/A
Pawnee County,NE,0,0,Low (<10.0),N/A,1,1,0,0
Perkins County,NE,0,0,Low (<10.0),-100,0.5,0.4,0,0
Phelps County,NE,0,0,Low (<10.0),N/A,0,0,0,0
Pierce County,NE,1,1.6,Low (<10.0),N/A,1.1,-0.6,29.1,-14.2
Platte County,NE,1,2.4,Low (<10.0),N/A,0.7,0.6,0,0
Polk County,NE,0,0,Low (<10.0),-100,0.1,-0.6,0,0
Red Willow County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Richardson County,NE,0,0,Low (<10.0),N/A,1,1,0,0
Rock County,NE,2,13.2,Medium (10.0 to 19.9),N/A,2.5,0.8,0,0
Saline County,NE,10,2.6,Low (<10.0),25,1,-0.7,1.9,0.6
Sarpy County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Saunders County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Scotts Bluff County,NE,2,2.9,Low (<10.0),N/A,0.2,0.2,0,0
Seward County,NE,10,2.6,Low (<10.0),25,1,-0.7,1.9,0.6
Sheridan County,NE,4,12.3,Medium (10.0 to 19.9),100,0.9,0.3,0,0
Sherman County,NE,1,1.1,Low (<10.0),0,0.4,-0.7,3.8,-1.2
Sioux County,NE,4,12.3,Medium (10.0 to 19.9),100,0.9,0.3,0,0
Stanton County,NE,1,1.6,Low (<10.0),N/A,1.1,-0.6,29.1,-14.2
Thayer County,NE,0,0,Low (<10.0),N/A,0,0,N/A,N/A
Thomas County,NE,0,0,Low (<10.0),N/A,0.6,-1,N/A,N/A
Thurston County,NE,2,1,Low (<10.0),-75,1.2,0.1,1.8,0.7
Valley County,NE,0,0,Low (<10.0),N/A,0.6,-1,N/A,N/A
Washington County,NE,22,2.5,Low (<10.0),144.4,1.7,-0.4,0.6,-0.7
Wayne County,NE,1,1.6,Low (<10.0),N/A,1.1,-0.6,29.1,-14.2
Webster County,NE,3,6.6,Low (<10.0),200,0.9,-0.1,1.6,-4.7
Wheeler County,NE,0,0,Low (<10.0),N/A,0.6,-1,N/A,N/A
York County,NE,0,0,Low (<10.0),-100,0.1,-0.6,0,0
Belknap County,NH,11,1.6,Low (<10.0),-45,0.8,-0.3,0.4,0.1
Carroll County,NH,11,1.6,Low (<10.0),-45,0.8,-0.3,0.4,0.1
Cheshire County,NH,5,4.2,Low (<10.0),-28.6,2.3,-1,2.1,1.6
Coos County,NH,1,2.7,Low (<10.0),N/A,1.1,-0.7,0,-2.8
Grafton County,NH,11,4,Low (<10.0),10,0.9,0.4,1.6,0.9
Hillsborough County,NH,11,1.6,Low (<10.0),-45,0.8,-0.3,0.4,0.1
Merrimack County,NH,11,1.6,Low (<10.0),-45,0.8,-0.3,0.4,0.1
Rockingham County,NH,22,2,Low (<10.0),-29,1,0,1.8,0.6
Strafford County,NH,10,3,Low (<10.0),11.1,2.6,-0.3,3.1,1.9
Sullivan County,NH,11,4,Low (<10.0),10,0.9,0.4,1.6,0.9
Atlantic County,NJ,8,2.2,Low (<10.0),-38.5,0.7,0.1,0.5,0.5
Bergen County,NJ,40,1.6,Low (<10.0),-25.9,1.1,0.1,0.8,0.3
Burlington County,NJ,33,2.5,Low (<10.0),17.9,0.8,0.1,0.6,-0.2
Camden County,NJ,33,2.5,Low (<10.0),17.9,0.8,0.1,0.6,-0.2
Cape May County,NJ,8,2.2,Low (<10.0),-38.5,0.7,0.1,0.5,0.5
Cumberland County,NJ,2,1.3,Low (<10.0),0,1.6,-0.2,2.7,-0.6
Essex County,NJ,31,1.2,Low (<10.0),-29.5,0.7,0,0.4,0.2
Gloucester County,NJ,33,2.5,Low (<10.0),17.9,0.8,0.1,0.6,-0.2
Hudson County,NJ,40,1.6,Low (<10.0),-25.9,1.1,0.1,0.8,0.3
Hunterdon County,NJ,6,2.6,Low (<10.0),500,0.4,-0.1,0,0
Mercer County,NJ,4,1.1,Low (<10.0),100,0.4,0,1.1,0.9
Middlesex County,NJ,31,1.2,Low (<10.0),-29.5,0.7,0,0.4,0.2
Monmouth County,NJ,19,1.5,Low (<10.0),-42.4,1.1,-0.2,0.7,-0.1
